Designator,Mid X,Mid Y,Rotation,Layer
MX94,55.55,-130.225,180.0,bottom
MX95,79.225,-130.225,180.0,bottom
MX96,150.5,-130.2,180.0,bottom
MX97,221.75,-130.2,180.0,bottom
MX98,245.525,-130.225,180.0,bottom
MX99,269.25,-130.2,180.0,bottom
R1,406.015,-25.15,180.0,bottom
R2,438.845,-33.16,0.0,bottom
R4,403.115,-25.15,180.0,bottom
SW1,413.05,-27.1,180.0,bottom
U1,318.6375,-96.85,90.0,bottom
U2,442.645,-32.16,0.0,bottom
U3,335.9,-98.552,0.0,bottom
U4,378.6,-42.035,270.0,bottom
